File Name,File Path,Detected Type
Microsoft.CodeAnalysis.CodeStyle.Fixes.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\Sdks\Microsoft.NET.Sdk\codestyle\cs\ru\Microsoft.CodeAnalysis.CodeStyle.Fixes.resources.dll,File025
Microsoft.NET.Sdk.StaticWebAssets.Tool.dll,C:\Program Files\dotnet\sdk\8.0.417\Sdks\Microsoft.NET.Sdk.StaticWebAssets\tools\net8.0\Microsoft.NET.Sdk.StaticWebAssets.Tool.dll,File173
Microsoft.DotNet.Cli.Utils.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\Containers\containerize\ru\Microsoft.DotNet.Cli.Utils.resources.dll,File173
System.ObjectModel.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.ObjectModel.dll,File025
System.Core.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.Core.dll,File025
Microsoft.DotNet.Cli.Utils.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\Containers\tasks\net472\ru\Microsoft.DotNet.Cli.Utils.resources.dll,File173
Microsoft.DotNet.Cli.Utils.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\Containers\tasks\net8.0\ru\Microsoft.DotNet.Cli.Utils.resources.dll,File173
System.IO.Pipes.AccessControl.dll,C:\Program Files\dotnet\packs\Microsoft.NETCore.App.Ref\8.0.23\ref\net8.0\System.IO.Pipes.AccessControl.dll,File173
Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\cs\Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,File173
Microsoft.DotNet.TemplateLocator.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\cs\Microsoft.DotNet.TemplateLocator.resources.dll,File173
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\it-IT\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\pt-PT\tipresx.dll.mui,File001
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\km-KH\tipresx.dll.mui,File001
Microsoft.DotNet.TemplateLocator.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\zh-Hant\Microsoft.DotNet.TemplateLocator.resources.dll,File173
Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\zh-Hant\Microsoft.NET.Sdk.WorkloadManifestReader.resources.dll,File173
Microsoft.CodeAnalysis.CodeStyle.Fixes.resources.dll,C:\Program Files\dotnet\sdk\8.0.417\Sdks\Microsoft.NET.Sdk\codestyle\vb\ru\Microsoft.CodeAnalysis.CodeStyle.Fixes.resources.dll,File025
Microsoft.AspNetCore.Hosting.Abstractions.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.AspNetCore.Hosting.Abstractions.dll,File025
Microsoft.Extensions.Configuration.KeyPerFile.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.Extensions.Configuration.KeyPerFile.dll,File173
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\fr-FR\tipresx.dll.mui,File042
Microsoft.Extensions.Configuration.Abstractions.dll,C:\Program Files\dotnet\packs\Microsoft.AspNetCore.App.Ref\8.0.23\ref\net8.0\Microsoft.Extensions.Configuration.Abstractions.dll,File173
tipresx.dll.mui,C:\Program Files\Common Files\microsoft shared\ink\et-EE\tipresx.dll.mui,File001
