File Name,File Path,Detected Type
File003,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File003,Unknown
File007,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File007,ZIP
File014,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File014,ZIP
File004,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File004,Unknown
File034,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File034,Unknown
File061,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File061,Unknown
File005,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File005,PE/EXE
File138,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File138,PDF
File006,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File006,ZIP
File028,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File028,Unknown
File031,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File031,ZIP
File010,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File010,ZIP
File011,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File011,ZIP
File012,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File012,ZIP
File082,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File082,Unknown
File030,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File030,ZIP
File013,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File013,"UTF-8(TEXT,BOM)"
File029,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File029,Unknown
File015,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File015,Unknown
File036,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File036,PNG
File016,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File016,Unknown
File032,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File032,ZIP
File027,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File027,PE/EXE
File017,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File017,ZIP
File117,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File117,ZIP
File035,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File035,ZIP
File018,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File018,PDF
File019,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File019,PNG
File095,C:\Users\John\Desktop\NSSECU3_projects\MP2_demontime\gpt5.2\File\File095,PE/EXE
