File_Path,File_Size,Rule,Description
E:\Users\John\Documents\File003,1855,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File021,35182,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File026,35821,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File065,756,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File086,677,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File110,2828,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File137,1359,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File157,10483,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File168,7815,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File172,17097,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File179,9093,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
E:\Users\John\Documents\File188,10470,Specific_License_Templates,"Detects 12 specific license templates, including GNU all-caps variants"
